class_year,snow_depth_guess_cm
2017,15
2017,15
2017,15
2017,16
2017,16
2017,16
2017,16
2017,17
2017,17
2017,17
2017,17
2017,17
2017,17
2017,17
2017,17
2017,17
2017,17
2017,17
2017,17
2017,17
2017,17
2017,17
2017,17
2017,18
2017,18
2017,18
2017,18
2017,18
2017,19
2017,20
2017,20
2018,15
2018,16
2018,16
2018,17
2018,17
2018,17
2018,17
2018,17
2018,17
2018,17
2018,17
2018,18
2018,18
2018,18
2018,18
2018,18
2018,18
2018,18
2018,18
2018,18
2018,18
2018,18
2018,19
2018,19
2018,19
2018,19
2018,19
2018,20
2018,20
2018,20
2018,20
2018,20
2018,20
2018,20
2018,21
2019,16
2019,16
2019,17
2019,17
2019,17
2019,17
2019,17
2019,17
2019,17
2019,17
2019,17
2019,17
2019,17
2019,18
2019,18
2019,18
2019,18
2019,19
2019,19
2019,20
2019,20
2019,20
2019,20
2019,22
2019,22
2019,23
2020,15
2020,17
2020,17
2020,17
2020,17
2020,17
2020,18
2020,18
2020,18
2020,18
2020,18
2020,18
2020,18
2020,18
2020,18
2020,18
2020,18
2020,18
2020,18
2020,18
2020,18
2020,18
2020,18
2020,19
2020,20
2020,20
2020,20
2020,20
